product_id,product_origin_id,reviewEval,reviewEvalValues,reviewTopic
1002134945,뷰티클로 시카 알로에  젤 100ml,제형,"되직해요,0-적당해요,54-묽어요,12",사용감-성분-트러블 개선-만족도-가격-효과
1002122547,뷰티클로 노니 퍼펙트 모이스쳐라이저 크림 80ml,수분감,"건조해요,3-보통이에요,23-촉촉해요,56",트러블 개선-만족도-가격-용량-사용감-성분-효과
1002122547,뷰티클로 노니 퍼펙트 모이스쳐라이저 크림 80ml,트러블,"조금 있었어요,2-잘 모르겠어요,25-전혀 없었어요,55",트러블 개선-만족도-가격-용량-사용감-성분-효과
1002122547,뷰티클로 노니 퍼펙트 모이스쳐라이저 크림 80ml,제형,"되직해요,3-적당해요,68-묽어요,11",트러블 개선-만족도-가격-용량-사용감-성분-효과
1003107862,뷰티클로 알로에 베라 스킨토너 200ml (퍼스트 에센셜 토너),수분감,"건조해요,0-보통이에요,10-촉촉해요,44",향기-트러블 개선-사용감-용기-품질-효과
1003107862,뷰티클로 알로에 베라 스킨토너 200ml (퍼스트 에센셜 토너),트러블,"조금 있었어요,1-잘 모르겠어요,15-전혀 없었어요,38",향기-트러블 개선-사용감-용기-품질-효과
1003107862,뷰티클로 알로에 베라 스킨토너 200ml (퍼스트 에센셜 토너),제형,"되직해요,3-적당해요,35-묽어요,16",향기-트러블 개선-사용감-용기-품질-효과
1002121415,뷰티클로 노니 퍼펙트 디자인 에센스 50ml,수분감,"건조해요,1-보통이에요,22-촉촉해요,43",용량-사용감-트러블 개선-만족도-효과
1002121415,뷰티클로 노니 퍼펙트 디자인 에센스 50ml,트러블,"조금 있었어요,1-잘 모르겠어요,23-전혀 없었어요,42",용량-사용감-트러블 개선-만족도-효과
1002121415,뷰티클로 노니 퍼펙트 디자인 에센스 50ml,제형,"되직해요,0-적당해요,39-묽어요,27",용량-사용감-트러블 개선-만족도-효과
1002135158,뷰티클로 노니 딥 클렌징 폼 150ml,세정력,"잘 안씻겨요,0-적당히 씻겨요,6-잘 씻겨요,28",향기-용량-사용감-효과
1002135158,뷰티클로 노니 딥 클렌징 폼 150ml,트러블,"조금 있었어요,3-잘 모르겠어요,7-전혀 없었어요,24",향기-용량-사용감-효과
1002135158,뷰티클로 노니 딥 클렌징 폼 150ml,거품,"부족해요,0-적당해요,15-풍부해요,19",향기-용량-사용감-효과
2087535403,뷰티클로 보태니컬 유브이 쉴드 크림 50g (SPF29),백탁현상,"백탁이 심해요,1-적당해요,12-백탁이 없어요,1",용량-사용감-성분-향기-만족도-가격
2087535403,뷰티클로 보태니컬 유브이 쉴드 크림 50g (SPF29),제형,"되직해요,1-적당해요,12-묽어요,1",용량-사용감-성분-향기-만족도-가격
2087535403,뷰티클로 보태니컬 유브이 쉴드 크림 50g (SPF29),자극도,"따끔거려요,0-보통이에요,4-순해요,10",용량-사용감-성분-향기-만족도-가격
3673874992,마데티카™ 더마 시카크림,수분감,"건조해요,1-보통이에요,24-촉촉해요,16",사용감-성분-향기-트러블 개선-만족도-효과-보습력-가격
3673874992,마데티카™ 더마 시카크림,트러블,"조금 있었어요,5-잘 모르겠어요,11-전혀 없었어요,25",사용감-성분-향기-트러블 개선-만족도-효과-보습력-가격
3673874992,마데티카™ 더마 시카크림,제형,"되직해요,9-적당해요,30-묽어요,2",사용감-성분-향기-트러블 개선-만족도-효과-보습력-가격
2398430139,뷰티클로  순수 살구씨 딥 클렌징 오일 150ml,세정력,"잘 안씻겨요,0-적당히 씻겨요,23-잘 씻겨요,44",사용감-성분-향기-만족도-가격-디자인
2398430139,뷰티클로  순수 살구씨 딥 클렌징 오일 150ml,트러블,"조금 있었어요,4-잘 모르겠어요,14-전혀 없었어요,49",사용감-성분-향기-만족도-가격-디자인
2398430139,뷰티클로  순수 살구씨 딥 클렌징 오일 150ml,수분감,"건조해요,1-보통이에요,25-촉촉해요,41",사용감-성분-향기-만족도-가격-디자인
3408954781,"뷰티피플 절대 심해녀 쿠션 파운데이션 (본품+리필 15,900원)",발색력,"연해요,0-딱 좋아요,13-진해요,0",용량-사용감-메이크업-만족도-가격-케이스-디자인-효과
3408954781,"뷰티피플 절대 심해녀 쿠션 파운데이션 (본품+리필 15,900원)",커버력,"약해요,1-잘 커버돼요,11-뛰어나요,1",용량-사용감-메이크업-만족도-가격-케이스-디자인-효과
3408954781,"뷰티피플 절대 심해녀 쿠션 파운데이션 (본품+리필 15,900원)",지속력,"짧아요,0-적당해요,10-오래 유지돼요,3",용량-사용감-메이크업-만족도-가격-케이스-디자인-효과
